StockCode,Week,Quantity,Description
21212,2010-11-29,869,PACK OF 72 RETROSPOT CAKE CASES
21212,2010-12-06,821,PACK OF 72 RETROSPOT CAKE CASES
21212,2010-12-13,538,PACK OF 72 RETROSPOT CAKE CASES
21212,2010-12-20,1344,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-01-03,324,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-01-10,610,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-01-17,1740,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-01-24,505,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-01-31,525,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-02-07,316,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-02-14,433,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-02-21,689,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-02-28,683,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-03-07,734,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-03-14,1269,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-03-21,501,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-03-28,671,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-04-04,597,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-04-11,537,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-04-18,1379,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-04-25,288,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-05-02,761,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-05-09,1546,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-05-16,555,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-05-23,301,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-05-30,203,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-06-06,550,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-06-13,822,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-06-20,163,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-06-27,90,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-07-04,1034,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-07-11,231,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-07-18,267,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-07-25,1070,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-08-01,428,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-08-08,294,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-08-15,1623,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-08-22,431,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-08-29,431,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-09-05,687,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-09-12,909,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-09-19,988,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-09-26,339,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-10-03,432,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-10-10,444,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-10-17,498,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-10-24,521,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-10-31,1024,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-11-07,310,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-11-14,528,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-11-21,250,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-11-28,428,PACK OF 72 RETROSPOT CAKE CASES
21212,2011-12-05,162,PACK OF 72 RETROSPOT CAKE CASES
22197,2010-11-29,411,POPCORN HOLDER
22197,2010-12-06,657,POPCORN HOLDER
22197,2010-12-13,856,POPCORN HOLDER
22197,2010-12-20,186,POPCORN HOLDER
22197,2011-01-03,805,POPCORN HOLDER
22197,2011-01-10,279,POPCORN HOLDER
22197,2011-01-17,231,POPCORN HOLDER
22197,2011-01-24,326,POPCORN HOLDER
22197,2011-01-31,62,POPCORN HOLDER
22197,2011-02-07,204,POPCORN HOLDER
22197,2011-02-14,1001,POPCORN HOLDER
22197,2011-02-21,1270,POPCORN HOLDER
22197,2011-02-28,359,POPCORN HOLDER
22197,2011-03-07,768,POPCORN HOLDER
22197,2011-03-14,551,POPCORN HOLDER
22197,2011-03-21,189,POPCORN HOLDER
22197,2011-03-28,370,POPCORN HOLDER
22197,2011-04-04,554,POPCORN HOLDER
22197,2011-04-11,770,POPCORN HOLDER
22197,2011-04-18,198,POPCORN HOLDER
22197,2011-04-25,300,POPCORN HOLDER
22197,2011-05-02,360,POPCORN HOLDER
22197,2011-05-09,336,POPCORN HOLDER
22197,2011-05-16,1272,POPCORN HOLDER
22197,2011-05-23,4536,POPCORN HOLDER
22197,2011-05-30,512,POPCORN HOLDER
22197,2011-06-06,394,POPCORN HOLDER
22197,2011-06-13,425,POPCORN HOLDER
22197,2011-06-20,327,POPCORN HOLDER
22197,2011-06-27,391,POPCORN HOLDER
22197,2011-07-04,586,POPCORN HOLDER
